Order ID,Returned
CA-2011-100762,Yes
CA-2011-100867,Yes
CA-2011-102652,Yes
CA-2011-103373,Yes
CA-2011-103744,Yes
CA-2011-103940,Yes
CA-2011-104829,Yes
CA-2011-105270,Yes
CA-2011-108609,Yes
CA-2011-108861,Yes
CA-2011-109918,Yes
CA-2011-110786,Yes
CA-2011-111871,Yes
CA-2011-116785,Yes
CA-2011-123225,Yes
CA-2011-123253,Yes
CA-2011-123498,Yes
CA-2011-124688,Yes
CA-2011-126361,Yes
CA-2011-126403,Yes
CA-2011-126522,Yes
CA-2011-127012,Yes
CA-2011-127131,Yes
CA-2011-133690,Yes
CA-2011-134726,Yes
CA-2011-135657,Yes
CA-2011-135699,Yes
CA-2011-140816,Yes
CA-2011-141726,Yes
CA-2011-142769,Yes
CA-2011-143336,Yes
CA-2011-143840,Yes
CA-2011-148614,Yes
CA-2011-148950,Yes
CA-2011-151162,Yes
CA-2011-152345,Yes
CA-2011-153150,Yes
CA-2011-156349,Yes
CA-2011-157924,Yes
CA-2011-159338,Yes
CA-2011-160766,Yes
CA-2011-160773,Yes
CA-2011-164721,Yes
CA-2011-164861,Yes
CA-2011-166744,Yes
CA-2011-169019,Yes
CA-2012-101910,Yes
CA-2012-103716,Yes
CA-2012-104129,Yes
CA-2012-105158,Yes
CA-2012-107678,Yes
CA-2012-109736,Yes
CA-2012-110814,Yes
CA-2012-111948,Yes
CA-2012-112144,Yes
CA-2012-113628,Yes
CA-2012-114048,Yes
CA-2012-116092,Yes
CA-2012-119214,Yes
CA-2012-119907,Yes
CA-2012-123568,Yes
CA-2012-124058,Yes
CA-2012-130456,Yes
CA-2012-130785,Yes
CA-2012-132374,Yes
CA-2012-132941,Yes
CA-2012-134075,Yes
CA-2012-134201,Yes
CA-2012-135580,Yes
CA-2012-138674,Yes
CA-2012-139731,Yes
CA-2012-140984,Yes
CA-2012-141593,Yes
CA-2012-142601,Yes
CA-2012-143238,Yes
CA-2012-143490,Yes
CA-2012-143602,Yes
CA-2012-144267,Yes
CA-2012-146255,Yes
CA-2012-146262,Yes
CA-2012-146486,Yes
CA-2012-148873,Yes
CA-2012-149342,Yes
